brake,turn_in,speed,accelerate,force,gear,mark
200,,236,250,80,1,turn one,
1750,,182,1900,100,3,turn two,
2600,,161,2750,80,3,mark three
3100,,200,3300,70,3,mark four
3750,,154,3900,60,3,
4200,,190,4400,80,3,
4550,,193,4600,70,2,
4800,,229,4900,70,4,
