game,session,track,car,lap,start,end,time,length,valid
Assetto Corsa (64 bit),1670610257,monza:,rss_formula_hybrid_2022_s,6,2022-12-09 19:36:41.901088+00:00,2022-12-09 19:38:05.654081+00:00,83.841,5757,True
Assetto Corsa (64 bit),1670610257,monza:,rss_formula_hybrid_2022_s,1,2022-12-09 19:28:07.950356+00:00,2022-12-09 19:29:34.814717+00:00,86.85899,5757,True
iRacing,1670238596,southernnational,Street Stock,1,2022-12-05 03:09:58.864145+00:00,2022-12-05 03:10:16.044023+00:00,20.2460327,569,True
iRacing,1670242083,southernnational,Street Stock,34,2022-12-05 04:17:10.108011+00:00,2022-12-05 04:17:30.611759+00:00,20.5248661,568,True
iRacing,1670238097,southernnational,Street Stock,1,2022-12-05 03:02:02.627455+00:00,2022-12-05 03:02:24.709673+00:00,22.23307,569,True
iRacing,1670237631,southernnational,Street Stock,16,2022-12-05 02:59:17.660828+00:00,2022-12-05 02:59:48.773837+00:00,23.7873745,569,True
Automobilista 2,1671635969,Cascavel4:Cascavel2,Mercedes-Benz Actros,7,2022-12-21 15:27:52.246698+00:00,2022-12-21 15:29:13.392711+00:00,81.6318359,3025,True
Automobilista 2,1671635969,Cascavel4:Cascavel2,Mercedes-Benz Actros,6,2022-12-21 15:26:29.956232+00:00,2022-12-21 15:27:52.104147+00:00,82.1447754,3025,True
Automobilista 2,1671635295,Cascavel4:Cascavel2,Mercedes-Benz Actros,6,2022-12-21 15:15:11.367670+00:00,2022-12-21 15:16:33.106960+00:00,82.1582,3025,True
Automobilista 2,1671635969,Cascavel4:Cascavel2,Mercedes-Benz Actros,10,2022-12-21 15:31:58.203686+00:00,2022-12-21 15:33:19.847564+00:00,82.177,3025,True
Automobilista 2,1671635295,Cascavel4:Cascavel2,Mercedes-Benz Actros,3,2022-12-21 15:11:05.415395+00:00,2022-12-21 15:12:26.904241+00:00,82.28088,3026,True
Automobilista 2,1671635969,Cascavel4:Cascavel2,Mercedes-Benz Actros,5,2022-12-21 15:25:08.232670+00:00,2022-12-21 15:26:29.830015+00:00,82.31616,3028,True
Automobilista 2,1671635969,Cascavel4:Cascavel2,Mercedes-Benz Actros,14,2022-12-21 15:37:29.590042+00:00,2022-12-21 15:38:51.192506+00:00,82.47119,3026,True
Automobilista 2,1671633609,Cascavel4:Cascavel2,Mercedes-Benz Actros,2,2022-12-21 14:43:28.901393+00:00,2022-12-21 14:44:50.274747+00:00,82.543396,3029,True
Automobilista 2,1671635295,Cascavel4:Cascavel2,Mercedes-Benz Actros,5,2022-12-21 15:13:49.190618+00:00,2022-12-21 15:15:11.221950+00:00,82.5834961,3025,True
Automobilista 2,1671634491,Cascavel4:Cascavel2,Mercedes-Benz Actros,4,2022-12-21 15:00:46.869449+00:00,2022-12-21 15:02:09.541879+00:00,82.6084,3029,True
Automobilista 2,1671627500,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,3,2022-12-21 13:02:42.514574+00:00,2022-12-21 13:04:50.421656+00:00,86.72925,4294,True
Automobilista 2,1671627500,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,6,2022-12-21 13:09:01.601583+00:00,2022-12-21 13:11:06.879156+00:00,87.20239,4294,True
Automobilista 2,1671625328,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,3,2022-12-21 12:29:46.522207+00:00,2022-12-21 12:31:52.931160+00:00,88.07178,4294,True
Automobilista 2,1671625328,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,6,2022-12-21 12:40:56.155358+00:00,2022-12-21 12:43:02.158143+00:00,88.0918,4294,True
Automobilista 2,1671627500,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,4,2022-12-21 13:04:50.544176+00:00,2022-12-21 13:06:55.947588+00:00,88.29761,4289,True
Automobilista 2,1671627500,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,1,2022-12-21 12:58:20.891620+00:00,2022-12-21 13:00:27.690744+00:00,88.60596,4294,True
Automobilista 2,1671625328,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,4,2022-12-21 12:36:39.534543+00:00,2022-12-21 12:38:48.541181+00:00,89.3092041,4292,True
Automobilista 2,1671625328,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,5,2022-12-21 12:38:48.673081+00:00,2022-12-21 12:40:56.018748+00:00,90.0061646,4291,True
Automobilista 2,1671627500,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,5,2022-12-21 13:06:56.088760+00:00,2022-12-21 13:09:01.474085+00:00,90.08838,4295,True
Automobilista 2,1671625328,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,2,2022-12-21 12:27:38.943351+00:00,2022-12-21 12:29:46.374303+00:00,90.44574,4291,True
iRacing,1670609176,okayama short,Dallara F312 F3,1,2022-12-09 18:06:36.452911+00:00,2022-12-09 18:07:24.951736+00:00,36.9739342,1930,True
iRacing,1670609176,okayama short,Dallara F312 F3,7,2022-12-09 18:11:23.930386+00:00,2022-12-09 18:12:01.203756+00:00,37.3018,1930,True
iRacing,1670315039,spa combined,Porsche 911 GT3.R,24,2022-12-06 02:26:08.500456+00:00,2022-12-06 02:27:20.281013+00:00,71.80783,6930,True
iRacing,1670532200,oran gp,Dallara F312 F3,7,2022-12-08 20:49:41.224850+00:00,2022-12-08 20:50:42.133620+00:00,61.2662,2599,True
iRacing,1670532200,oran gp,Dallara F312 F3,4,2022-12-08 20:46:36.055778+00:00,2022-12-08 20:47:37.559321+00:00,61.297802,2598,True
iRacing,1670532200,oran gp,Dallara F312 F3,11,2022-12-08 20:53:49.307016+00:00,2022-12-08 20:54:50.634690+00:00,61.3103333,2599,True
iRacing,1670532200,oran gp,Dallara F312 F3,12,2022-12-08 20:54:50.650635+00:00,2022-12-08 20:55:52.107547+00:00,61.4949,2598,True
iRacing,1670532200,oran gp,Dallara F312 F3,6,2022-12-08 20:48:39.221256+00:00,2022-12-08 20:49:41.224519+00:00,61.6228333,2596,True
iRacing,1670532200,oran gp,Dallara F312 F3,14,2022-12-08 20:56:53.871816+00:00,2022-12-08 20:57:55.564773+00:00,61.6697,2598,True
iRacing,1670532200,oran gp,Dallara F312 F3,13,2022-12-08 20:55:52.142373+00:00,2022-12-08 20:56:53.851503+00:00,61.7288322,2599,True
iRacing,1670532200,oran gp,Dallara F312 F3,3,2022-12-08 20:45:34.053636+00:00,2022-12-08 20:46:35.807988+00:00,61.7566338,2592,True
iRacing,1670532200,oran gp,Dallara F312 F3,5,2022-12-08 20:47:37.564307+00:00,2022-12-08 20:48:39.204829+00:00,61.9747,2599,True
iRacing,1670532200,oran gp,Dallara F312 F3,8,2022-12-08 20:50:42.448653+00:00,2022-12-08 20:51:44.120769+00:00,61.9908,2599,True
Automobilista 2,1670355483,SpaFrancorchamps:Spa_Francorchamps_1970,Porsche 911 RSR GTE,1,2022-12-06 20:38:03.354154+00:00,2022-12-06 20:41:54.085476+00:00,210.6756,14091,True
Automobilista 2,1670355748,SpaFrancorchamps:Spa_Francorchamps_1970,Porsche 911 RSR GTE,1,2022-12-06 20:42:28.460166+00:00,2022-12-06 20:46:15.138780+00:00,234.087158,14093,True
iRacing,1670226294,lagunaseca,Hyundai Elantra N TC,3,2022-12-04 23:51:28.745389+00:00,2022-12-04 23:53:03.915101+00:00,95.23297,3569,True
iRacing,1670226294,lagunaseca,Hyundai Elantra N TC,2,2022-12-04 23:49:52.314175+00:00,2022-12-04 23:51:28.704012+00:00,96.41807,3570,True
iRacing,1670226294,lagunaseca,Hyundai Elantra N TC,1,2022-12-04 23:45:26.417237+00:00,2022-12-04 23:49:52.282684+00:00,108.6895,3568,True
Assetto Corsa (64 bit),1670334313,lilski_watkins_glen:boot,urd_maures_gtr_97,3,2022-12-06 13:52:35.521131+00:00,2022-12-06 13:54:17.884119+00:00,102.378,5418,True
Assetto Corsa (64 bit),1670334313,lilski_watkins_glen:boot,urd_maures_gtr_97,2,2022-12-06 13:50:51.992760+00:00,2022-12-06 13:52:35.402532+00:00,103.485,5416,True
Assetto Corsa (64 bit),1670334313,lilski_watkins_glen:boot,urd_maures_gtr_97,1,2022-12-06 13:49:04.838686+00:00,2022-12-06 13:50:51.865254+00:00,109.770004,5420,True
iRacing,1670287161,spielberg gp,Porsche 911 GT3.R,2,2022-12-05 19:41:12.230849+00:00,2022-12-05 19:42:44.006688+00:00,91.80323,4279,True
iRacing,1670287161,spielberg gp,Porsche 911 GT3.R,5,2022-12-05 19:45:50.733646+00:00,2022-12-05 19:47:23.003181+00:00,92.3017,4278,True
iRacing,1670287161,spielberg gp,Porsche 911 GT3.R,3,2022-12-05 19:42:44.036493+00:00,2022-12-05 19:44:16.346590+00:00,92.35553,4278,True
iRacing,1670287161,spielberg gp,Porsche 911 GT3.R,7,2022-12-05 19:48:57.186675+00:00,2022-12-05 19:50:29.791105+00:00,92.63503,4278,True
iRacing,1670287161,spielberg gp,Porsche 911 GT3.R,6,2022-12-05 19:47:23.034382+00:00,2022-12-05 19:48:57.156244+00:00,94.1363,4279,True
iRacing,1670287161,spielberg gp,Porsche 911 GT3.R,4,2022-12-05 19:44:16.379709+00:00,2022-12-05 19:45:50.702064+00:00,94.33493,4278,True
Assetto Corsa (64 bit),1671643460,ks_nurburgring:layout_gp_a,rss_formula_rss_3_v6,2,2022-12-21 18:31:23.345295+00:00,2022-12-21 18:33:12.851617+00:00,109.506,5076,True
Assetto Corsa (64 bit),1671643460,ks_nurburgring:layout_gp_a,rss_formula_rss_3_v6,2,2022-12-21 18:29:32.901367+00:00,2022-12-21 18:31:23.236845+00:00,110.327995,5071,True
Automobilista 2,1670584820,Nurburgring_2020:Nurb_GP_2020_Veedol,Porsche 911 RSR GTE,3,2022-12-09 12:27:31.194083+00:00,2022-12-09 12:29:48.317420+00:00,97.2019043,5123,True
Automobilista 2,1670584820,Nurburgring_2020:Nurb_GP_2020_Veedol,Porsche 911 RSR GTE,2,2022-12-09 12:25:28.196953+00:00,2022-12-09 12:27:31.085511+00:00,103.855469,5123,True
Automobilista 2,1670867479,ImolaAMS2:Imola_GP_2001,Porsche 911 GT1-98,3,2022-12-12 18:57:31.842659+00:00,2022-12-12 18:59:13.511391+00:00,112.49585,4909,True
Automobilista 2,1670867479,ImolaAMS2:Imola_GP_2001,Porsche 911 GT1-98,4,2022-12-12 18:59:13.620837+00:00,2022-12-12 19:00:58.048364+00:00,116.048706,4908,True
Automobilista 2,1670867479,ImolaAMS2:Imola_GP_2001,Porsche 911 GT1-98,9,2022-12-12 19:09:36.919358+00:00,2022-12-12 19:11:22.664144+00:00,116.930664,4906,True
Automobilista 2,1670867479,ImolaAMS2:Imola_GP_2001,Porsche 911 GT1-98,2,2022-12-12 18:55:44.057315+00:00,2022-12-12 18:57:31.734666+00:00,117.5553,4909,True
Automobilista 2,1670867479,ImolaAMS2:Imola_GP_2001,Porsche 911 GT1-98,1,2022-12-12 18:53:57.104256+00:00,2022-12-12 18:55:43.947835+00:00,119.060181,4908,True
Automobilista 2,1670867479,ImolaAMS2:Imola_GP_2001,Porsche 911 GT1-98,8,2022-12-12 19:07:50.440055+00:00,2022-12-12 19:09:36.805232+00:00,119.260254,4909,True
Automobilista 2,1670868801,ImolaAMS2:Imola_GP_2001,Porsche 911 GT1-98,1,2022-12-12 19:13:16.955833+00:00,2022-12-12 19:15:12.535090+00:00,127.678223,4908,True
Automobilista 2,1670869102,ImolaAMS2:Imola_GP_2001,Porsche 911 GT1-98,1,2022-12-12 19:18:17.136079+00:00,2022-12-12 19:20:12.866674+00:00,127.775391,4910,True
Automobilista 2,1670355905,Fontana:Fontana_OVAL,Reynard 2Ki Ford-Cosworth - Superspeedway,41,2022-12-06 21:08:24.708685+00:00,2022-12-06 21:08:55.078159+00:00,26.8164063,3209,True
Automobilista 2,1670355905,Fontana:Fontana_OVAL,Reynard 2Ki Ford-Cosworth - Superspeedway,24,2022-12-06 20:57:12.817799+00:00,2022-12-06 20:57:43.399083+00:00,26.840332,3217,True
Automobilista 2,1670355905,Fontana:Fontana_OVAL,Reynard 2Ki Ford-Cosworth - Superspeedway,23,2022-12-06 20:56:42.315752+00:00,2022-12-06 20:57:12.702383+00:00,26.85791,3219,True
