segment,brake,steering_angle,throttle
0,0.0,0.85013960948521,100.0
1,0.0,0.7340493757826911,100.0
2,0.0,0.2935840534564539,100.0
3,0.0,0.3432623006891185,100.0
4,54.29137859905209,-0.5039779331534289,15.467385129913428
5,74.8117550790457,-0.6287895124900892,0.0
6,64.60566281244864,4.786630323571722,0.0
7,13.643964293107055,54.21950316265571,4.272938020662197
8,0.0,124.9246968706772,11.52677799957452
9,0.0,115.86292545564382,43.8038904906261
10,0.0,33.94016586318148,99.47918529374547
11,0.0,-1.9323643470840188,100.0
12,0.0,-18.04499385231083,100.0
13,0.0,-13.203085579881474,100.0
14,29.105882144485008,0.5104949555986243,33.632258857738414
15,31.26987201822585,24.23859043411606,11.358155737099931
16,3.523286781170026,70.9734417664707,9.813174364501103
17,0.23339946022125688,19.658323548230506,84.52722110617829
18,20.225241417643588,-33.162396258016216,10.236503836078045
19,4.377878339841375,-92.47503620412233,0.0
20,0.02515822970696756,-119.49992864998805,40.41176152707429
21,0.0,-42.21335253574695,85.04870598824537
22,0.0,-3.8023622900819056,100.0
23,0.0,13.235721419010872,100.0
24,0.0,17.99597220170909,100.0
25,0.0,12.044042894625013,100.0
26,0.0,10.982542893805885,100.0
27,0.0,4.6657659555227715,100.0
28,0.0,-16.012228483747926,98.78463553780126
29,0.0,-31.825380396306215,57.91879677802168
30,0.0,-26.705319770785373,88.11030299507941
31,0.0,-12.746339775573844,100.0
32,0.0,11.060970987406268,72.50923616041828
33,0.0,27.639862202743256,62.68464069392083
34,0.0,19.28992176393424,99.79262451186648
35,0.9646914701597261,9.887810020400474,79.76005052258671
36,42.86481206858868,2.3387773362249957,0.8435334109271295
37,48.01865881610464,9.126439011517789,13.940355965812184
38,15.03020149134054,30.0644369475933,5.77851270522176
39,0.0,41.779823563750945,45.42982570058096
40,0.0,43.82303181922496,53.495933004956
41,0.0,35.88724723969794,70.61366566806417
42,0.0,31.924929585908465,86.13257163100343
43,0.0,12.904171392405848,99.71800893654319
44,0.0,-8.821637223798259,100.0
45,13.583946739018142,-13.329489449471343,49.39787088981608
46,57.38953862181643,6.161781228226234,0.0
47,20.102615923502263,33.217634397633255,19.815205675722616
48,0.0,46.01999247613925,65.94137682896194
49,0.0,24.290430072172484,100.0
50,0.0,23.12609913233657,95.90578079852904
51,31.79543058576103,16.168498253114727,22.539858938839238
52,30.414566633451916,35.2600652170682,0.0
53,4.336527217797962,86.659725113161,17.43683502154702
54,0.0,53.809202945504595,81.963054892116
55,0.0,20.775538274012412,100.0
56,3.618220593970687,-18.837259134897074,59.27882298564416
57,21.821651123749824,-27.894082625372754,10.46694637374715
58,3.423996352172477,-76.5868500771122,3.195033039905987
59,0.0,-118.69964506718493,32.622720680440295
60,0.0,-88.11992120785649,57.520480103022194
61,0.0,-13.965482062526354,100.0
62,0.0,-5.505227778891735,100.0
63,0.0,-5.06777461751548,100.0
64,0.0,-5.293392774977181,100.0
65,0.0,-4.692947749939963,100.0
66,0.0,-4.491021897694513,100.0
67,0.0,-5.081761628363417,100.0
68,0.0,-5.62752980886642,100.0
69,5.81993652482373,-4.525390654125221,82.69220345084813
70,68.68840256027856,-2.608764437909657,0.0
71,65.6942746101009,5.241876830620279,0.0
72,25.59582781027194,53.46236003997227,0.0
73,0.4640136808625813,13.577501736568985,22.98233332019382
74,0.0,-101.50287456211034,26.071110261538564
75,0.0,-89.59078754759578,60.57778330981116
76,0.0,-5.355817374724536,100.0
77,0.0,-0.1299371906160724,100.0
78,0.0,2.5127055221331394,100.0
79,0.37081244087327037,3.3841655092596468,97.54890525156122
80,46.61442373299113,4.651720852458728,4.395319999290669
81,12.166814995110581,38.93598545784424,13.647202229862994
82,0.0,65.35119588318601,44.337967545995184
83,0.0,39.69820915851915,76.38597555208678
84,0.0,16.872418794682517,100.0
85,0.0,19.42881227847746,100.0
86,0.0,34.10762142725829,92.162203856434
87,0.0,38.46383144362303,56.05945575805633
88,0.0,44.15680561904437,54.61208126159685
89,0.0,43.935716172067266,76.50728571472882
90,0.0,28.720370828006317,100.0
91,0.0,13.448235660684286,100.0
92,0.0,4.784567420085876,100.0
93,0.0,1.3717942109573134,100.0
94,0.0,0.19407311434492064,100.0
95,0.0,0.46315337586179534,100.0
96,0.0,0.3309639594620601,100.0
97,0.0,0.4989495669279279,100.0
98,0.0,0.9555506480651491,100.0
99,0.0,1.1465919920832242,100.0
