segment,brake,steering_angle,throttle
0,0.0,2.205765334048396,100.0
1,0.0,2.5375258536928564,100.0
2,0.0,0.19334317456753267,100.0
3,0.0,0.9979199035277008,100.0
4,27.41351857652136,0.5767672786888955,52.909116440927974
5,83.49001386858235,-0.7761563097370262,0.0
6,65.6872968038142,2.355993424421319,0.0
7,41.477395918498516,40.29717517493084,0.0
8,2.0013167938204597,93.3144051659286,41.78373720491035
9,0.0,91.84320701623146,67.41942066479126
10,0.0,25.554294746948834,100.0
11,0.0,11.556997855153874,100.0
12,0.0,-19.57363482057476,100.0
13,0.0,-22.925885951787265,100.0
14,39.44620908402373,4.229223316098512,29.294286450405828
15,27.45201159234539,23.447560100052947,1.8668444499617365
16,0.0,62.91346332751142,40.8768251457826
17,8.76667036646652,1.8921770713663144,60.6641506495918
18,27.68998113791087,-19.54389853210578,0.0
19,0.0,-73.17324969074834,24.19545916717052
20,0.0,-113.4963053694767,38.817309356576935
21,0.0,-38.9424638267386,82.61047419006412
22,0.0,-2.6510028235586676,100.0
23,0.0,12.960339417003976,100.0
24,0.0,15.71845136411379,100.0
25,0.0,14.113620466059714,100.0
26,0.0,6.129599824457186,100.0
27,0.0,7.949405380954549,100.0
28,0.0,-15.896913715922944,100.0
29,0.0,-28.941926558922532,100.0
30,0.0,-30.457174627360196,100.0
31,0.0,-16.375694690799875,100.0
32,0.0,13.539614715548243,100.0
33,0.0,35.50629619516804,96.11308952855411
34,0.0,22.624922934943566,100.0
35,1.290007677114907,7.36506503136777,84.61419253866669
36,57.10965611306317,2.055543864712048,1.0496802263210072
37,52.05984567711103,8.339562080808378,13.096584435851174
38,15.607488712936165,23.230074371865594,4.681433404581786
39,0.0,43.73413118094515,64.23266564723791
40,0.0,40.59758449915863,67.15880669458775
41,0.0,44.61799396786485,86.68589653075468
42,0.0,29.848498650823235,99.99999998920674
43,0.0,20.05091416776111,100.0
44,0.0,-15.921498881874857,99.84773621256622
45,5.5124745250848255,-19.86530602102843,35.79044302396998
46,62.244402744552346,6.7445543730438855,12.7715747956159
47,21.815019499348768,37.01406788464395,4.348215936438427
48,40.28722369621282,40.21407466531684,31.664245603775647
49,51.29256466986931,32.87041254284865,30.252684942342455
50,52.32982583609519,32.197431562260576,29.608431451020845
51,53.36708700232106,31.524450581672518,28.964177959699242
52,54.404348168546925,30.85146960108445,28.31992446837764
53,55.44160933477279,30.17848862049639,27.67567097705603
54,56.478870500998674,29.505507639908313,27.031417485734426
55,57.51613166722454,28.832526659320244,26.387163994412823
56,58.55339283345042,28.159545678732183,25.742910503091217
57,59.64251705798758,27.45291564911472,25.06644433720353
58,60.679778224213436,26.779934668526657,24.422190845881932
59,61.66517633212802,26.140602736968,23.810150029126408
60,62.70243749835389,25.46762175637993,23.165896537804805
61,63.73969866457976,24.794640775791866,22.5216430464832
62,64.77695983080564,24.121659795203797,21.877389555161592
63,65.81422099703151,23.44867881461573,21.233136063839986
64,66.85148216325737,22.775697834027664,20.58888257251838
65,67.88874332948325,22.1027168534396,19.944629081196776
66,68.92600449570912,21.429735872851534,19.30037558987517
67,69.963265661935,20.75675489226347,18.656122098553567
68,71.00052682816087,20.083773911675404,18.01186860723196
69,72.03778799438673,19.41079293108734,17.367615115910354
70,73.07504916061261,18.737811950499278,16.723361624588755
71,74.11231032683847,18.06483096991121,16.07910813326715
72,75.14957149306434,17.391849989323145,15.434854641945549
73,76.18683265929022,16.71886900873508,14.790601150623942
74,77.22409382551608,16.045888028147015,14.146347659302336
75,78.26135499174195,15.37290704755895,13.502094167980733
76,79.29861615796783,14.699926066970885,12.857840676659126
77,80.3358773241937,14.02694508638282,12.21358718533752
78,81.37313849041956,13.353964105794756,11.569333694015915
79,82.41039965664545,12.680983125206684,10.92508020269431
80,83.44766082287131,12.008002144618619,10.280826711372706
81,84.48492198909719,11.335021164030554,9.636573220051101
82,85.52218315532306,10.662040183442489,8.992319728729495
83,86.55944432154892,9.98905920285443,8.348066237407895
84,87.5967054877748,9.316078222266366,7.703812746086291
85,88.63396665400066,8.643097241678301,7.059559254764688
86,89.67122782022653,7.970116261090237,6.415305763443081
87,90.70848898645241,7.29713528050217,5.7710522721214765
88,91.74575015267828,6.624154299914099,5.126798780799871
89,92.78301131890416,5.951173319326035,4.482545289478265
90,93.82027248513002,5.27819233873797,3.8382917981566607
91,94.8575336513559,4.605211358149905,3.194038306835055
92,95.89479481758175,3.93223037756184,2.5497848155134504
93,96.93205598380764,3.2592493969737752,1.9055313241918448
94,97.9693171500335,2.5862684163857104,1.2612778328702396
95,99.00657831625938,1.913287435797642,0.6170243415486347
96,49.89226209546439,0.4982361361574834,50.066917111528724
97,0.0,1.0200001947629267,100.0
98,0.0,-0.8758788781701247,100.0
99,0.0,-0.6231442576819392,100.0
